periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,17.06999969482422,17.329999923706055,16.78499984741211,16.860000610351562,6958900.0,16.27448844909668,0.0,0.0
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,16.959999084472656,17.274999618530273,16.68000030517578,16.969999313354492,11200800.0,16.380666732788086,0.0,0.0
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,16.780000686645508,17.200000762939453,16.1299991607666,16.18000030517578,7833500.0,15.618103981018066,0.29,0.0
3M,USD,3605000.0,0.11,20784000.0,41141000.0,5062907500.0,76672000.0,107983000.0,5020727000.0,1916154000.0,3035536500.0,19830000.0,-571302000.0,2290858000.0,6,2025,BNL,15.779999732971191,16.299999237060547,15.649999618530273,16.190000534057617,11284700.0,15.899462699890137,0.0,0.0
3M,USD,3605000.0,0.11,20784000.0,41141000.0,5062907500.0,76672000.0,107983000.0,5020727000.0,1916154000.0,3035536500.0,19830000.0,-571302000.0,2290858000.0,6,2025,BNL,16.170000076293945,16.479999542236328,16.020000457763672,16.1200008392334,6005000.0,15.830718994140625,0.0,0.0
3M,USD,3605000.0,0.11,20784000.0,41141000.0,5062907500.0,76672000.0,107983000.0,5020727000.0,1916154000.0,3035536500.0,19830000.0,-571302000.0,2290858000.0,6,2025,BNL,16.18000030517578,16.405000686645508,15.850000381469727,16.290000915527344,7126800.0,15.997668266296387,0.0,0.0
3M,USD,3605000.0,0.11,20784000.0,41141000.0,5062907500.0,76672000.0,107983000.0,5020727000.0,1916154000.0,3035536500.0,19830000.0,-571302000.0,2290858000.0,6,2025,BNL,16.34000015258789,16.6299991607666,15.979999542236328,16.15999984741211,9391400.0,15.869999885559082,0.0,0.0
3M,USD,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,3,2024,ESRT,9.8100004196167,9.930000305175781,9.529999732971191,9.720000267028809,5754100.0,9.507328987121582,0.0,0.0
3M,USD,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,3,2024,ESRT,9.65999984741211,9.960000038146973,9.529999732971191,9.789999961853027,4923800.0,9.575797080993652,0.035,0.0
3M,USD,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,3,2024,ESRT,9.729999542236328,10.180000305175781,9.579999923706055,9.8100004196167,4116600.0,9.629508018493652,0.0,0.0
3M,USD,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,3,2024,ESRT,9.859999656677246,10.25,9.699999809265137,10.130000114440918,3676100.0,9.943619728088379,0.0,0.0
3M,USD,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,6,2024,ESRT,9.579999923706055,9.630000114440918,9.100000381469727,9.170000076293945,3556600.0,9.001282691955566,0.0,0.0
3M,USD,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,6,2024,ESRT,9.079999923706055,9.819999694824219,9.0600004196167,9.319999694824219,3868400.0,9.14852237701416,0.035,0.0
3M,USD,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,6,2024,ESRT,9.319999694824219,9.350000381469727,9.09000015258789,9.09000015258789,3953100.0,8.956101417541504,0.0,0.0
3M,USD,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,6,2024,ESRT,9.149999618530273,9.390000343322754,8.920000076293945,9.380000114440918,5273800.0,9.241829872131348,0.0,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,10.65999984741211,10.859999656677246,10.239999771118164,10.25,4397500.0,10.099014282226562,0.0,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,10.229999542236328,10.600000381469727,9.970000267028809,10.600000381469727,5362600.0,10.443859100341797,0.0,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,10.59000015258789,11.359999656677246,10.430000305175781,11.010000228881836,11121500.0,10.847820281982422,0.035,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,11.09000015258789,11.430000305175781,10.899999618530273,10.949999809265137,5929800.0,10.824442863464355,0.0,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,10.9399995803833,11.09000015258789,10.65999984741211,10.779999732971191,3716300.0,10.656393051147461,0.0,0.0
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,10.979999542236328,11.010000228881836,10.779999732971191,10.890000343322754,4320800.0,10.765131950378418,0.0,0.0
