periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.0,17.190000534057617,16.510000228881836,16.969999313354492,5443400.0,16.67999839782715,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.059999465942383,17.364999771118164,16.514999389648438,17.059999465942383,7391100.0,16.768461227416992,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.06999969482422,17.329999923706055,16.78499984741211,16.860000610351562,6958900.0,16.571880340576172,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,16.959999084472656,17.274999618530273,16.68000030517578,16.969999313354492,11200800.0,16.67999839782715,0.0,0.0
3M,USD,163491000.0,88063000.0,34688000.0,70926000.0,93116000.0,3235048000.0,164798318.0,0.0,-83212000.0,-116130.0,-553000.0,3,2024,ESRT,9.8100004196167,9.930000305175781,9.529999732971191,9.720000267028809,5754100.0,9.545686721801758,0.0,0.0
3M,USD,163491000.0,88063000.0,34688000.0,70926000.0,93116000.0,3235048000.0,164798318.0,0.0,-83212000.0,-116130.0,-553000.0,3,2024,ESRT,9.65999984741211,9.960000038146973,9.529999732971191,9.789999961853027,4923800.0,9.614431381225586,0.035,0.0
3M,USD,163491000.0,88063000.0,34688000.0,70926000.0,93116000.0,3235048000.0,164798318.0,0.0,-83212000.0,-116130.0,-553000.0,3,2024,ESRT,9.729999542236328,10.180000305175781,9.579999923706055,9.8100004196167,4116600.0,9.668357849121094,0.0,0.0
3M,USD,163491000.0,88063000.0,34688000.0,70926000.0,93116000.0,3235048000.0,164798318.0,0.0,-83212000.0,-116130.0,-553000.0,3,2024,ESRT,9.859999656677246,10.25,9.699999809265137,10.130000114440918,3676100.0,9.98373794555664,0.0,0.0
3M,USD,164277000.0,84689000.0,55256000.0,37124000.0,104854000.0,3474705000.0,165465164.0,0.0,-71928000.0,276480.122846,10803000.0,6,2024,ESRT,9.579999923706055,9.630000114440918,9.100000381469727,9.170000076293945,3556600.0,9.037599563598633,0.0,0.0
3M,USD,164277000.0,84689000.0,55256000.0,37124000.0,104854000.0,3474705000.0,165465164.0,0.0,-71928000.0,276480.122846,10803000.0,6,2024,ESRT,9.079999923706055,9.819999694824219,9.0600004196167,9.319999694824219,3868400.0,9.185433387756348,0.035,0.0
3M,USD,164277000.0,84689000.0,55256000.0,37124000.0,104854000.0,3474705000.0,165465164.0,0.0,-71928000.0,276480.122846,10803000.0,6,2024,ESRT,9.319999694824219,9.350000381469727,9.09000015258789,9.09000015258789,3958500.0,8.99223518371582,0.0,0.0
3M,USD,164277000.0,84689000.0,55256000.0,37124000.0,104854000.0,3474705000.0,165465164.0,0.0,-71928000.0,276480.122846,10803000.0,6,2024,ESRT,9.149999618530273,9.390000343322754,8.920000076293945,9.380000114440918,5593900.0,9.2791166305542,0.0,0.0
3M,USD,164880000.0,89982000.0,53568000.0,102810000.0,109617000.0,3471338000.0,166487581.0,0.0,-64211000.0,75080.617213,1262000.0,9,2024,ESRT,10.65999984741211,10.859999656677246,10.239999771118164,10.25,4397500.0,10.139759063720703,0.0,0.0
3M,USD,164880000.0,89982000.0,53568000.0,102810000.0,109617000.0,3471338000.0,166487581.0,0.0,-64211000.0,75080.617213,1262000.0,9,2024,ESRT,10.229999542236328,10.600000381469727,9.970000267028809,10.600000381469727,5362600.0,10.48599624633789,0.0,0.0
3M,USD,164880000.0,89982000.0,53568000.0,102810000.0,109617000.0,3471338000.0,166487581.0,0.0,-64211000.0,75080.617213,1262000.0,9,2024,ESRT,10.59000015258789,11.359999656677246,10.430000305175781,11.010000228881836,11121500.0,10.891586303710938,0.035,0.0
3M,USD,164880000.0,89982000.0,53568000.0,102810000.0,109617000.0,3471338000.0,166487581.0,0.0,-64211000.0,75080.617213,1262000.0,9,2024,ESRT,11.09000015258789,11.430000305175781,10.899999618530273,10.949999809265137,5929800.0,10.868115425109863,0.0,0.0
